100 2999
0 1 35
0 2 3
0 3 4
0 6 89
0 7 9
0 8 36
0 10 68
0 11 87
0 12 26
0 14 10
0 15 60
0 16 21
0 18 79
0 19 29
0 20 51
0 22 31
0 23 26
0 24 95
0 26 36
0 33 90
0 35 52
0 36 81
0 37 84
0 39 68
0 40 29
0 41 85
0 42 89
0 47 98
0 48 87
0 49 6
0 51 5
0 53 99
0 55 66
0 57 7
0 58 87
0 59 7
0 60 63
0 62 28
0 63 27
0 65 97
0 67 51
0 69 18
0 70 20
0 71 52
0 73 47
0 75 33
0 76 58
0 77 29
0 78 7
0 82 46
0 83 25
0 84 34
0 86 45
0 88 97
0 89 43
0 92 95
0 93 26
0 96 77
0 97 6
0 98 3
1 2 24
1 3 14
1 4 14
1 5 79
1 6 100
1 8 29
1 10 29
1 12 65
1 14 55
1 16 68
1 17 19
1 18 68
1 21 50
1 23 79
1 24 62
1 25 92
1 26 86
1 27 15
1 28 88
1 29 59
1 32 48
1 34 71
1 36 15
1 37 83
1 38 54
1 39 9
1 40 34
1 43 22
1 44 68
1 45 13
1 46 65
1 47 77
1 50 45
1 53 48
1 54 94
1 55 11
1 57 67
1 58 58
1 59 80
1 60 91
1 61 43
1 62 64
1 64 97
1 66 11
1 71 2
1 73 60
1 74 83
1 75 30
1 76 44
1 77 29
1 78 3
1 79 21
1 82 14
1 83 24
1 84 75
1 87 64
1 88 21
1 89 42
1 91 86
1 92 87
1 97 9
1 99 66
2 3 87
2 5 1
2 6 55
2 7 72
2 8 83
2 12 34
2 13 70
2 14 73
2 15 5
2 16 27
2 17 1
2 19 5
2 21 8
2 22 67
2 23 36
2 25 8
2 26 67
2 33 71
2 34 69
2 36 88
2 38 53
2 39 55
2 41 90
2 42 40
2 43 12
2 44 86
2 46 3
2 47 65
2 48 29
2 49 27
2 51 99
2 52 100
2 53 26
2 55 42
2 56 11
2 57 100
2 58 48
2 63 32
2 64 8
2 65 45
2 67 13
2 68 13
2 69 6
2 70 12
2 71 34
2 73 27
2 74 23
2 75 69
2 76 90
2 79 67
2 81 26
2 82 77
2 85 67
2 87 16
2 88 15
2 90 80
2 91 84
2 92 96
2 93 95
2 96 15
2 97 38
2 98 4
2 99 50
3 4 12
3 6 73
3 8 34
3 10 75
3 13 58
3 15 78
3 16 87
3 17 47
3 18 44
3 19 15
3 22 3
3 24 48
3 25 1
3 27 18
3 28 98
3 29 76
3 31 60
3 34 94
3 35 17
3 37 81
3 38 44
3 39 75
3 41 37
3 42 58
3 45 40
3 47 53
3 48 63
3 49 85
3 50 44
3 55 54
3 58 3
3 59 2
3 60 45
3 62 41
3 64 3
3 65 2
3 66 41
3 67 10
3 68 54
3 72 54
3 73 41
3 74 76
3 76 20
3 77 44
3 79 41
3 80 13
3 81 20
3 85 52
3 86 63
3 87 46
3 88 69
3 90 84
3 91 12
3 92 12
3 93 53
3 95 47
3 96 20
3 97 7
4 5 9
4 6 22
4 7 42
4 8 23
4 10 1
4 11 96
4 13 11
4 14 31
4 15 39
4 17 8
4 20 88
4 22 59
4 25 50
4 26 19
4 27 11
4 29 61
4 30 100
4 32 50
4 33 61
4 36 4
4 37 70
4 39 32
4 40 40
4 41 63
4 44 32
4 46 58
4 47 17
4 48 62
4 50 71
4 51 87
4 52 67
4 54 20
4 56 70
4 57 70
4 58 56
4 59 21
4 60 14
4 61 65
4 63 26
4 65 58
4 69 52
4 70 87
4 71 72
4 72 90
4 73 73
4 75 62
4 76 50
4 77 39
4 78 98
4 80 24
4 83 67
4 84 16
4 86 37
4 87 7
4 89 60
4 91 20
4 93 39
4 94 60
4 95 53
4 96 84
4 97 14
5 8 44
5 11 57
5 13 87
5 14 72
5 17 79
5 20 68
5 21 98
5 22 5
5 23 98
5 24 27
5 25 88
5 27 4
5 28 54
5 29 74
5 31 19
5 32 9
5 33 37
5 34 29
5 35 67
5 36 59
5 39 66
5 40 68
5 42 23
5 43 43
5 52 2
5 54 95
5 55 70
5 56 26
5 57 39
5 58 5
5 59 59
5 61 29
5 62 31
5 63 65
5 64 64
5 65 9
5 67 32
5 68 43
5 70 13
5 72 42
5 73 5
5 78 19
5 79 45
5 84 78
5 86 49
5 87 75
5 88 14
5 89 57
5 90 6
5 91 78
5 92 15
5 94 45
5 95 30
5 96 39
5 98 89
5 99 52
6 7 28
6 8 54
6 9 32
6 10 21
6 11 43
6 13 25
6 14 25
6 16 81
6 17 48
6 18 75
6 19 95
6 20 17
6 21 11
6 23 61
6 26 96
6 27 94
6 29 1
6 31 99
6 36 81
6 37 48
6 38 83
6 39 10
6 41 86
6 44 67
6 45 75
6 46 31
6 47 16
6 49 91
6 50 27
6 51 53
6 52 24
6 53 30
6 56 45
6 58 45
6 59 72
6 60 75
6 61 34
6 63 83
6 64 16
6 66 64
6 68 100
6 69 65
6 70 2
6 73 16
6 74 23
6 75 52
6 76 79
6 78 82
6 80 21
6 82 6
6 84 28
6 85 40
6 86 12
6 90 45
6 93 48
6 95 50
6 96 34
6 98 50
6 99 42
7 8 78
7 9 67
7 11 53
7 12 88
7 13 99
7 14 87
7 15 89
7 17 73
7 19 92
7 20 8
7 22 28
7 24 34
7 25 8
7 28 23
7 31 38
7 32 90
7 34 84
7 35 91
7 37 92
7 38 83
7 41 89
7 43 52
7 45 45
7 47 72
7 48 23
7 51 47
7 53 58
7 54 16
7 55 9
7 56 98
7 57 30
7 58 6
7 60 74
7 61 7
7 63 92
7 64 99
7 65 65
7 66 45
7 67 26
7 68 70
7 71 97
7 72 60
7 74 72
7 75 93
7 76 35
7 80 98
7 85 99
7 88 81
7 92 90
7 95 35
7 96 52
7 97 42
7 98 72
8 11 18
8 12 71
8 13 6
8 14 16
8 15 22
8 16 99
8 17 33
8 21 100
8 22 37
8 24 10
8 25 25
8 26 86
8 29 28
8 32 54
8 33 2
8 35 80
8 36 15
8 37 84
8 38 75
8 40 23
8 41 57
8 45 57
8 46 34
8 48 29
8 52 94
8 55 48
8 56 19
8 57 79
8 60 60
8 61 89
8 62 52
8 67 52
8 70 89
8 72 17
8 73 58
8 74 68
8 75 70
8 77 2
8 79 68
8 80 62
8 81 86
8 82 1
8 83 57
8 84 65
8 85 59
8 86 3
8 87 65
8 88 73
8 89 89
8 90 80
8 91 55
8 95 48
9 10 41
9 11 71
9 12 96
9 18 19
9 19 18
9 20 62
9 22 76
9 24 89
9 26 8
9 28 90
9 29 80
9 31 6
9 32 38
9 33 18
9 35 13
9 37 22
9 39 49
9 43 71
9 44 90
9 45 47
9 46 17
9 47 1
9 48 8
9 51 60
9 52 16
9 53 72
9 55 26
9 56 67
9 57 40
9 58 63
9 59 34
9 61 70
9 63 57
9 67 78
9 70 71
9 72 37
9 74 5
9 75 47
9 76 51
9 77 20
9 79 17
9 80 98
9 82 86
9 84 74
9 85 9
9 86 20
9 87 39
9 89 53
9 90 71
9 91 92
9 93 68
9 96 11
9 97 2
10 12 83
10 13 11
10 14 51
10 16 7
10 17 43
10 21 4
10 22 19
10 25 89
10 26 66
10 27 61
10 28 88
10 29 78
10 32 7
10 33 88
10 37 98
10 38 33
10 43 28
10 45 46
10 47 59
10 49 87
10 54 21
10 55 6
10 56 92
10 57 16
10 61 71
10 65 40
10 67 38
10 69 98
10 70 95
10 73 86
10 75 32
10 78 74
10 80 99
10 81 18
10 82 32
10 86 34
10 87 73
10 88 76
10 89 5
10 93 11
10 95 47
10 96 92
10 97 67
10 98 28
11 12 19
11 13 46
11 14 8
11 16 86
11 18 90
11 19 3
11 21 52
11 24 19
11 25 61
11 26 57
11 27 93
11 28 71
11 29 10
11 30 7
11 32 2
11 34 40
11 35 69
11 36 51
11 38 87
11 39 33
11 40 55
11 43 83
11 45 75
11 47 96
11 48 14
11 50 51
11 51 24
11 52 76
11 53 61
11 55 44
11 57 65
11 59 27
11 60 40
11 62 76
11 64 41
11 65 66
11 66 80
11 67 65
11 68 12
11 69 2
11 70 34
11 71 81
11 74 81
11 75 50
11 76 90
11 77 35
11 79 57
11 80 38
11 82 44
11 83 99
11 84 53
11 85 79
11 86 88
11 87 61
11 89 40
11 93 46
11 94 25
11 96 22
11 99 68
12 13 67
12 15 26
12 16 5
12 19 90
12 20 26
12 21 10
12 23 4
12 24 41
12 25 38
12 28 68
12 30 67
12 31 4
12 32 7
12 33 49
12 34 9
12 35 47
12 37 39
12 40 78
12 41 72
12 42 92
12 44 69
12 45 53
12 46 63
12 48 60
12 49 50
12 51 96
12 53 65
12 54 50
12 61 19
12 63 55
12 65 43
12 66 25
12 67 90
12 70 66
12 71 34
12 73 1
12 75 89
12 76 3
12 77 28
12 79 93
12 80 60
12 82 69
12 83 49
12 84 93
12 85 93
12 86 77
12 87 50
12 89 17
12 92 93
12 93 7
12 95 40
12 96 40
12 97 14
12 98 99
13 16 5
13 17 35
13 18 30
13 19 35
13 20 2
13 23 89
13 25 19
13 27 85
13 28 86
13 29 20
13 30 71
13 31 64
13 32 46
13 35 50
13 38 49
13 39 29
13 40 92
13 43 9
13 44 19
13 45 11
13 47 60
13 49 23
13 50 74
13 51 62
13 52 15
13 53 25
13 54 30
13 56 86
13 57 2
13 58 22
13 59 60
13 60 40
13 61 39
13 65 37
13 66 88
13 67 22
13 70 82
13 71 77
13 73 62
13 74 81
13 76 53
13 77 50
13 78 18
13 80 53
13 81 53
13 85 17
13 86 86
13 87 75
13 88 11
13 89 81
13 92 58
13 93 30
13 94 9
13 95 82
13 96 69
13 97 11
13 99 63
14 15 69
14 19 53
14 20 61
14 21 95
14 22 90
14 23 62
14 24 35
14 25 42
14 26 78
14 27 32
14 30 71
14 31 47
14 33 57
14 34 24
14 35 62
14 36 5
14 37 64
14 41 12
14 42 96
14 43 29
14 46 68
14 47 74
14 49 83
14 52 63
14 53 38
14 55 53
14 56 46
14 61 97
14 62 3
14 63 80
14 64 28
14 65 89
14 66 89
14 68 1
14 71 15
14 72 56
14 73 95
14 74 90
14 76 35
14 77 31
14 78 31
14 79 61
14 84 86
14 85 62
14 86 23
14 90 60
14 91 74
14 92 44
14 93 20
14 95 37
14 96 92
14 99 43
15 16 90
15 17 19
15 18 73
15 21 24
15 22 27
15 23 67
15 24 50
15 25 48
15 26 92
15 28 73
15 29 79
15 30 41
15 32 3
15 34 81
15 35 71
15 38 77
15 39 6
15 40 49
15 41 65
15 42 60
15 46 81
15 47 99
15 48 59
15 51 14
15 53 86
15 54 64
15 55 89
15 58 77
15 59 91
15 60 10
15 61 42
15 62 25
15 63 3
15 66 74
15 67 62
15 69 18
15 70 61
15 71 85
15 72 39
15 73 97
15 74 91
15 75 45
15 78 43
15 79 19
15 80 19
15 81 54
15 83 44
15 85 44
15 86 43
15 87 53
15 88 82
15 89 65
15 90 92
15 91 11
15 92 69
15 94 7
15 95 22
15 96 95
15 97 23
15 98 84
15 99 69
16 19 64
16 22 70
16 26 79
16 27 54
16 28 22
16 29 87
16 30 17
16 31 5
16 36 96
16 37 52
16 39 14
16 43 93
16 44 46
16 47 56
16 49 11
16 50 16
16 52 72
16 54 84
16 57 64
16 58 22
16 59 55
16 61 92
16 62 63
16 63 8
16 65 12
16 66 99
16 67 63
16 69 28
16 70 62
16 71 65
16 73 73
16 75 88
16 76 35
16 78 36
16 80 45
16 82 57
16 83 40
16 84 65
16 85 59
16 87 17
16 89 69
16 90 26
16 91 39
16 93 44
16 95 74
16 96 53
17 19 16
17 20 30
17 21 8
17 22 10
17 24 57
17 26 93
17 27 49
17 28 33
17 29 75
17 32 73
17 33 63
17 35 45
17 37 13
17 38 84
17 39 16
17 41 21
17 43 74
17 46 50
17 49 57
17 50 57
17 53 99
17 54 24
17 56 42
17 57 56
17 58 23
17 59 87
17 63 25
17 64 49
17 65 57
17 66 1
17 68 91
17 70 74
17 72 20
17 74 23
17 75 44
17 77 51
17 78 50
17 79 74
17 80 99
17 81 30
17 83 2
17 88 63
17 89 20
17 90 88
17 92 24
17 93 67
17 94 29
17 95 27
17 96 42
17 97 59
17 98 69
18 23 60
18 24 51
18 27 24
18 29 52
18 32 90
18 33 18
18 35 4
18 36 100
18 37 12
18 38 21
18 39 27
18 40 3
18 42 64
18 44 1
18 45 85
18 46 8
18 47 47
18 51 29
18 52 56
18 55 58
18 57 72
18 58 92
18 60 7
18 61 36
18 62 72
18 63 1
18 64 48
18 65 79
18 67 90
18 68 76
18 69 89
18 71 52
18 73 68
18 74 100
18 75 97
18 76 57
18 77 22
18 78 41
18 79 22
18 82 87
18 83 75
18 85 76
18 86 99
18 89 16
18 90 45
18 91 95
18 93 64
18 94 8
18 98 49
19 21 87
19 23 94
19 24 41
19 26 21
19 27 6
19 31 73
19 34 27
19 36 51
19 37 50
19 38 90
19 41 93
19 42 47
19 43 63
19 44 62
19 46 6
19 47 100
19 49 30
19 50 8
19 54 37
19 55 77
19 56 22
19 58 64
19 61 49
19 62 97
19 63 62
19 64 30
19 65 46
19 67 15
19 68 35
19 69 46
19 70 73
19 71 42
19 72 11
19 73 42
19 76 46
19 79 71
19 81 40
19 82 54
19 83 34
19 85 49
19 86 53
19 88 46
19 89 99
19 90 33
19 91 51
19 92 32
19 93 48
19 94 87
19 95 49
19 96 18
19 97 3
19 98 100
19 99 28
20 21 68
20 25 24
20 26 91
20 27 25
20 28 100
20 30 86
20 31 12
20 32 35
20 35 82
20 36 56
20 37 76
20 39 11
20 40 60
20 41 31
20 44 43
20 45 38
20 46 6
20 47 63
20 49 80
20 50 51
20 51 54
20 55 19
20 58 19
20 63 78
20 65 18
20 66 86
20 67 91
20 69 45
20 70 82
20 71 41
20 72 42
20 73 13
20 76 71
20 77 79
20 78 85
20 79 51
20 80 89
20 82 23
20 84 25
20 85 27
20 86 89
20 87 77
20 91 69
20 92 90
20 95 17
20 96 81
20 97 94
20 99 42
21 22 88
21 24 54
21 25 36
21 28 1
21 29 83
21 30 95
21 31 64
21 32 92
21 33 75
21 34 94
21 35 38
21 36 38
21 38 51
21 39 79
21 40 19
21 41 80
21 42 55
21 43 97
21 45 35
21 47 71
21 48 2
21 49 1
21 50 39
21 53 76
21 54 37
21 57 23
21 58 3
21 59 84
21 60 59
21 62 41
21 64 3
21 67 29
21 68 86
21 69 48
21 70 52
21 71 57
21 72 21
21 74 44
21 78 86
21 79 82
21 81 46
21 82 31
21 84 20
21 85 26
21 86 68
21 89 34
21 90 51
21 92 59
21 97 22
21 98 58
22 23 81
